id;age;job;marital;education;balance;housing;loan;default
1;26.0;unemployed;married;tertiary;454;yes;yes;no
2;25.0;technician;married;secondary;517;no;no;no
3;36.0;technician;single;secondary;1044;yes;no;no
4;45.0;blue-collar;married;secondary;146;yes;yes;no
5;27.0;management;married;tertiary;145;no;no;no
6;45.0;unemployed;divorced;primary;11;no;no;yes
7;35.0;management;married;tertiary;298;yes;no;no
8;27.0;technician;single;secondary;905;yes;yes;no
9;;management;married;tertiary;-485;yes;no;yes
10;32.0;unemployed;married;secondary;10;yes;no;no
11;46.0;blue-collar;married;secondary;78;yes;yes;no
12;53.0;management;married;tertiary;0;no;no;no
13;32.0;management;single;tertiary;223;no;no;no
14;34.0;student;;tertiary;387;yes;no;no
15;58.0;management;married;tertiary;96;no;no;no
16;77.0;retired;married;tertiary;0;no;no;no
17;31.0;blue-collar;single;secondary;-161;no;no;no
18;47.0;blue-collar;;secondary;3630;yes;no;no
19;;blue-collar;married;secondary;302;no;yes;no
20;47.0;blue-collar;married;primary;1452;yes;yes;no
21;32.0;management;married;tertiary;1651;yes;no;no
22;31.0;admin.;married;secondary;84;yes;no;no
23;30.0;management;single;secondary;2143;yes;yes;no
24;31.0;management;single;tertiary;682;yes;no;no
25;59.0;retired;divorced;secondary;337;yes;no;yes
26;23.0;technician;single;secondary;4545;no;no;no
27;40.0;blue-collar;married;primary;1698;yes;yes;no
28;39.0;blue-collar;married;secondary;1367;no;no;no
29;57.0;blue-collar;;primary;3109;no;no;no
30;56.0;management;married;tertiary;480;yes;no;no
31;44.0;services;married;secondary;3536;no;no;no
32;;housemaid;single;secondary;781;yes;no;no
33;75.0;retired;married;secondary;291;no;no;no
34;27.0;blue-collar;single;secondary;3145;no;no;no
35;45.0;services;married;secondary;-75;yes;no;no
36;35.0;admin.;married;secondary;1035;yes;yes;no
37;36.0;services;;secondary;981;no;no;no
38;55.0;management;divorced;tertiary;552;no;no;no
39;54.0;technician;married;secondary;465;yes;yes;yes
40;45.0;technician;married;unknown;886;yes;no;no
41;56.0;retired;married;primary;-464;yes;no;no
42;57.0;retired;;tertiary;34;no;yes;no
43;;technician;married;secondary;-74;yes;no;yes
44;53.0;blue-collar;married;secondary;1777;yes;no;no
45;30.0;technician;single;secondary;1395;yes;no;no
46;36.0;management;married;secondary;-148;no;no;no
47;73.0;retired;married;tertiary;1843;no;no;no
48;33.0;unknown;single;secondary;1522;no;yes;no
49;51.0;blue-collar;divorced;tertiary;257;yes;no;yes
50;;retired;divorced;primary;1327;yes;yes;yes
51;37.0;housemaid;married;primary;0;no;no;no
52;39.0;blue-collar;;secondary;497;no;no;no
53;32.0;blue-collar;married;primary;902;yes;no;no
54;44.0;blue-collar;married;secondary;1311;yes;no;no
55;46.0;blue-collar;married;primary;1596;no;no;no
56;43.0;management;married;tertiary;2767;yes;no;no
57;25.0;entrepreneur;single;tertiary;0;no;no;no
58;46.0;admin.;divorced;secondary;984;yes;no;no
59;28.0;management;married;tertiary;84;no;yes;yes
60;;blue-collar;married;unknown;231;yes;no;no
61;26.0;admin.;single;tertiary;3730;yes;no;no
62;53.0;retired;;secondary;1139;yes;no;no
63;42.0;blue-collar;married;secondary;388;yes;yes;no
64;35.0;blue-collar;married;secondary;485;yes;no;no
65;32.0;blue-collar;married;secondary;363;yes;no;no
66;40.0;blue-collar;married;secondary;-313;yes;no;no
67;33.0;entrepreneur;single;secondary;278;no;no;no
68;41.0;blue-collar;married;secondary;-204;yes;no;yes
69;30.0;admin.;married;secondary;2931;yes;no;no
70;32.0;management;single;tertiary;3;yes;no;no
71;40.0;technician;single;secondary;2244;no;yes;no
72;42.0;services;married;primary;5879;yes;no;no
73;41.0;technician;married;secondary;871;yes;no;no
74;40.0;admin.;;secondary;35;no;no;no
75;;technician;married;secondary;757;no;no;no
76;63.0;blue-collar;married;primary;115;no;no;yes
77;39.0;management;divorced;secondary;51;no;no;no
78;36.0;blue-collar;married;secondary;580;no;no;no
79;43.0;management;married;tertiary;4923;yes;no;no
80;25.0;admin.;single;tertiary;3730;yes;no;no
81;40.0;blue-collar;married;secondary;-605;yes;yes;no
82;32.0;blue-collar;;secondary;34;yes;no;no
83;54.0;technician;single;secondary;2237;no;no;yes
84;53.0;blue-collar;married;secondary;285;yes;yes;no
85;41.0;admin.;married;secondary;-120;no;no;yes
86;54.0;technician;divorced;secondary;-291;no;no;yes
87;45.0;management;married;tertiary;31472;no;no;no
88;33.0;blue-collar;;secondary;529;yes;no;no
89;;technician;single;secondary;35;no;no;no
90;31.0;admin.;single;secondary;1340;no;no;no
91;40.0;admin.;married;secondary;149;yes;no;no
92;33.0;technician;single;secondary;5235;no;no;no
93;49.0;technician;married;secondary;3466;yes;no;no
94;39.0;management;married;tertiary;575;no;no;no
95;46.0;services;divorced;secondary;348;yes;no;no
96;28.0;student;single;tertiary;1096;no;no;no
97;30.0;technician;single;tertiary;1646;no;no;no
98;59.0;retired;divorced;secondary;1;no;no;no
99;24.0;services;single;secondary;77;yes;yes;no
100;28.0;technician;single;tertiary;0;yes;no;no
101;;blue-collar;;primary;676;yes;no;no
102;23.0;student;single;secondary;556;yes;no;no
103;56.0;management;married;secondary;3164;no;no;no
104;53.0;admin.;married;secondary;257;no;no;no
105;59.0;blue-collar;married;primary;0;no;no;yes
106;31.0;technician;single;secondary;0;no;no;no
107;27.0;blue-collar;;secondary;5854;no;no;no
108;32.0;services;single;secondary;1168;yes;no;no
109;39.0;housemaid;married;secondary;1029;yes;yes;no
110;;blue-collar;married;secondary;685;yes;no;no
111;33.0;technician;single;tertiary;2565;yes;no;no
112;33.0;management;married;tertiary;5878;no;no;no
113;52.0;admin.;divorced;tertiary;0;yes;yes;no
114;36.0;services;single;secondary;590;yes;no;no
115;40.0;admin.;;secondary;1538;yes;no;no
116;36.0;services;single;secondary;260;yes;no;no
117;;blue-collar;divorced;secondary;0;no;no;no
118;43.0;technician;divorced;secondary;353;yes;no;yes
119;36.0;management;divorced;tertiary;0;no;no;no
120;34.0;admin.;single;tertiary;18;yes;yes;no
121;55.0;management;married;tertiary;1161;yes;no;yes
122;29.0;services;married;secondary;13;no;no;no
123;;blue-collar;married;primary;0;no;no;no
124;35.0;unemployed;married;secondary;978;no;no;no
125;33.0;management;married;tertiary;273;yes;no;no
126;48.0;services;;secondary;194;yes;yes;no
127;33.0;management;married;tertiary;78;yes;no;no
128;38.0;admin.;single;unknown;0;yes;no;no
129;44.0;technician;divorced;secondary;303;yes;yes;no
130;54.0;services;married;tertiary;0;no;no;no
131;;management;married;tertiary;4374;yes;no;no
132;32.0;housemaid;;secondary;216;no;yes;no
133;52.0;unemployed;married;tertiary;1595;no;no;no
134;29.0;management;single;tertiary;21;yes;no;no
135;32.0;blue-collar;married;secondary;4;yes;yes;no
136;29.0;student;single;unknown;7585;no;no;no
137;55.0;retired;married;secondary;4230;no;yes;no
138;34.0;technician;;tertiary;932;yes;no;no
139;54.0;management;married;secondary;282;yes;yes;no
140;;management;married;tertiary;62;yes;no;no
141;33.0;technician;married;unknown;0;no;no;no
142;36.0;blue-collar;married;secondary;3463;yes;no;no
143;40.0;blue-collar;;primary;0;no;no;no
144;51.0;blue-collar;married;primary;1491;yes;no;no
145;33.0;technician;married;tertiary;575;yes;no;no
146;32.0;housemaid;married;primary;0;yes;no;no
147;37.0;housemaid;divorced;secondary;37;no;no;no
148;35.0;entrepreneur;married;secondary;24;yes;no;no
149;32.0;blue-collar;single;secondary;567;yes;no;no
150;30.0;services;single;secondary;290;yes;no;no
151;;management;single;tertiary;536;no;no;no
152;36.0;blue-collar;married;secondary;4;yes;no;no
153;40.0;blue-collar;married;unknown;1181;yes;no;no
154;26.0;admin.;single;secondary;-14;no;no;no
155;27.0;technician;single;secondary;911;no;no;no
156;58.0;blue-collar;married;secondary;266;yes;no;no
157;43.0;entrepreneur;single;tertiary;5347;no;no;no
158;36.0;technician;single;tertiary;40;no;no;no
159;33.0;services;married;secondary;930;no;yes;no
160;51.0;blue-collar;;primary;4712;no;no;no
161;37.0;blue-collar;married;secondary;982;yes;no;no
162;47.0;blue-collar;married;secondary;0;yes;no;no
163;;management;married;tertiary;618;no;no;no
164;58.0;blue-collar;married;primary;3108;no;yes;no
165;60.0;retired;;primary;55;no;no;no
166;49.0;blue-collar;married;primary;953;yes;no;no
167;40.0;admin.;married;tertiary;10035;no;no;no
168;59.0;admin.;;secondary;2552;no;yes;no
169;27.0;management;married;tertiary;893;no;no;no
170;;technician;single;unknown;766;no;no;no
171;25.0;admin.;single;secondary;681;yes;no;no
172;27.0;management;single;tertiary;648;yes;yes;no
173;29.0;management;single;tertiary;7578;no;no;no
174;60.0;technician;divorced;secondary;0;no;no;no
175;33.0;technician;married;tertiary;-988;yes;yes;no
176;34.0;management;single;tertiary;163;no;no;no
177;;blue-collar;single;secondary;2096;yes;no;no
178;49.0;entrepreneur;divorced;secondary;2908;no;no;no
179;34.0;blue-collar;married;primary;425;yes;no;no
180;39.0;blue-collar;married;secondary;7653;no;no;no
181;52.0;blue-collar;married;primary;1141;yes;no;no
182;;technician;married;secondary;414;yes;no;no
183;83.0;retired;divorced;primary;20;no;no;no
184;39.0;management;;tertiary;5142;no;no;no
185;35.0;blue-collar;married;primary;424;yes;no;no
186;29.0;unemployed;single;unknown;67;no;no;no
187;34.0;self-employed;married;tertiary;870;no;no;no
188;37.0;services;married;unknown;-224;no;no;no
189;59.0;retired;;unknown;613;no;no;no
190;32.0;blue-collar;single;secondary;313;yes;yes;no
191;;management;single;tertiary;84;no;no;no
192;31.0;admin.;divorced;secondary;525;no;yes;no
193;33.0;services;single;secondary;3269;no;yes;no
194;30.0;management;single;tertiary;47;no;yes;no
195;34.0;admin.;married;secondary;2374;yes;no;no
196;34.0;management;single;tertiary;886;yes;no;no
197;52.0;blue-collar;married;unknown;2171;yes;no;no
198;34.0;technician;single;secondary;3;yes;yes;no
199;46.0;unemployed;divorced;secondary;22;no;no;yes
200;50.0;housemaid;married;primary;1098;no;no;no
201;32.0;technician;single;secondary;316;no;no;no
202;45.0;blue-collar;married;primary;0;no;no;no
203;32.0;services;single;secondary;5806;yes;no;no
204;;unemployed;married;secondary;1466;yes;no;yes
205;57.0;technician;divorced;secondary;0;yes;no;no
206;24.0;technician;single;secondary;81;yes;no;no
207;40.0;blue-collar;married;secondary;2671;yes;yes;no
208;47.0;blue-collar;;secondary;737;no;yes;no
209;57.0;management;married;tertiary;1016;no;no;no
210;53.0;management;married;tertiary;1102;no;no;no
211;20.0;student;single;unknown;8860;no;no;no
212;51.0;technician;married;secondary;180;yes;no;no
213;;blue-collar;married;primary;-636;yes;no;no
214;50.0;technician;single;secondary;1022;no;no;no
215;46.0;admin.;married;secondary;5169;no;no;no
216;69.0;retired;;tertiary;473;no;no;yes
217;51.0;blue-collar;married;secondary;-92;yes;no;no
218;42.0;blue-collar;divorced;secondary;898;yes;no;no
219;60.0;retired;divorced;secondary;598;no;yes;no
220;49.0;blue-collar;married;primary;0;no;no;yes
221;40.0;services;divorced;secondary;1062;yes;no;no
222;;blue-collar;married;primary;4793;yes;no;no
223;38.0;services;married;secondary;497;yes;yes;no
224;43.0;unemployed;married;primary;960;yes;yes;no
225;46.0;blue-collar;;secondary;521;yes;no;yes
226;44.0;technician;single;secondary;1059;yes;no;no
227;40.0;technician;married;tertiary;483;yes;no;no
228;27.0;technician;married;secondary;130;yes;no;no
229;46.0;management;single;secondary;5993;no;no;no
230;29.0;services;single;secondary;184;no;no;no
231;69.0;retired;married;unknown;426;no;no;no
232;;technician;single;secondary;1186;yes;no;no
233;42.0;blue-collar;married;primary;2103;yes;no;yes
234;46.0;blue-collar;married;secondary;211;yes;no;no
235;35.0;services;married;unknown;618;no;no;no
236;39.0;technician;divorced;secondary;385;no;no;no
237;30.0;management;married;secondary;3817;yes;no;no
238;32.0;services;married;secondary;3839;yes;no;no
239;46.0;blue-collar;single;primary;259;no;yes;no
240;44.0;blue-collar;;secondary;-73;yes;no;no
241;36.0;management;married;tertiary;518;no;no;no
242;33.0;technician;married;secondary;14850;yes;no;no
243;27.0;student;single;unknown;3511;no;no;no
244;;admin.;single;secondary;986;no;yes;yes
245;60.0;retired;married;unknown;1396;no;yes;no
246;37.0;technician;divorced;secondary;3068;yes;yes;no
247;32.0;blue-collar;married;primary;885;yes;no;no
248;20.0;student;single;unknown;829;no;no;no
249;44.0;blue-collar;;primary;-14;yes;yes;no
250;35.0;admin.;single;secondary;1836;no;no;no
251;31.0;blue-collar;single;unknown;813;yes;no;no
252;55.0;technician;married;secondary;3207;no;no;no
253;;blue-collar;married;primary;2079;yes;yes;no
254;36.0;technician;single;secondary;1855;yes;no;no
255;31.0;technician;married;tertiary;-502;yes;yes;no
256;45.0;blue-collar;married;primary;0;no;no;no
257;43.0;management;divorced;tertiary;-132;yes;yes;no
258;27.0;technician;single;secondary;-211;yes;no;no
259;52.0;self-employed;married;tertiary;6657;no;no;no
260;47.0;blue-collar;divorced;secondary;1815;yes;no;no
261;27.0;admin.;married;secondary;-790;yes;no;no
262;55.0;housemaid;married;primary;1642;no;no;no
263;32.0;management;;secondary;1477;yes;no;no
264;35.0;technician;single;tertiary;458;yes;no;no
265;51.0;admin.;married;secondary;1535;no;yes;no
266;;technician;single;secondary;326;yes;no;no
267;38.0;technician;married;tertiary;34;no;yes;no
268;47.0;retired;divorced;secondary;-157;no;yes;yes
269;27.0;technician;single;tertiary;401;no;no;no
270;51.0;admin.;single;secondary;2685;no;no;no
271;29.0;blue-collar;single;secondary;922;yes;no;no
272;42.0;admin.;divorced;secondary;1076;yes;no;no
273;28.0;management;single;tertiary;682;yes;no;no
274;42.0;admin.;married;secondary;445;yes;no;no
275;;technician;married;tertiary;296;no;no;no
276;56.0;management;divorced;tertiary;1263;yes;no;no
277;18.0;student;single;unknown;108;no;no;no
278;30.0;management;single;tertiary;19796;no;no;no
279;36.0;technician;;secondary;25;no;no;no
280;29.0;management;married;tertiary;7832;yes;no;no
281;48.0;management;divorced;tertiary;313;no;no;no
282;;retired;divorced;secondary;282;yes;no;no
283;39.0;technician;married;secondary;287;yes;no;no
284;38.0;housemaid;divorced;tertiary;4312;no;no;no
285;60.0;blue-collar;married;unknown;54;yes;no;no
286;41.0;blue-collar;single;secondary;1564;yes;no;no
287;56.0;services;single;secondary;-40;yes;no;no
288;49.0;blue-collar;married;primary;512;yes;yes;yes
289;45.0;blue-collar;divorced;primary;1805;no;no;no
290;48.0;blue-collar;;secondary;647;no;no;no
291;49.0;management;married;tertiary;596;yes;no;no
292;;blue-collar;divorced;secondary;9898;yes;no;no
293;35.0;self-employed;married;tertiary;247;yes;no;no
294;54.0;blue-collar;married;secondary;1223;yes;no;no
295;30.0;technician;married;secondary;3875;yes;no;no
296;39.0;blue-collar;;secondary;854;yes;yes;no
297;51.0;management;married;tertiary;1612;no;no;yes
298;;management;married;tertiary;321;yes;no;no
299;29.0;blue-collar;single;primary;950;yes;no;no
300;36.0;services;married;secondary;3064;yes;no;no
301;23.0;student;single;secondary;922;no;no;no
302;46.0;blue-collar;married;secondary;7;no;no;no
303;40.0;blue-collar;married;secondary;1451;no;no;no
304;32.0;blue-collar;married;secondary;136;no;no;no
305;28.0;blue-collar;married;secondary;337;yes;no;no
306;43.0;self-employed;divorced;secondary;347;no;no;no
307;30.0;technician;married;primary;95;yes;no;no
308;31.0;services;single;secondary;0;no;no;no
309;41.0;management;divorced;tertiary;236;no;no;no
310;46.0;blue-collar;single;primary;2851;yes;no;no
311;;technician;divorced;secondary;1333;yes;yes;no
312;34.0;admin.;married;tertiary;35;yes;no;no
313;40.0;services;;secondary;5248;yes;yes;no
314;64.0;management;married;tertiary;4688;no;no;no
315;71.0;retired;married;primary;10394;no;no;no
316;26.0;blue-collar;married;secondary;0;yes;yes;no
317;45.0;blue-collar;married;secondary;3169;no;no;no
318;32.0;blue-collar;single;primary;1959;no;no;no
319;50.0;management;divorced;tertiary;0;no;no;no
320;;management;;tertiary;15;no;no;no
321;59.0;technician;single;secondary;571;no;yes;no
322;45.0;entrepreneur;married;secondary;68;yes;no;no
323;53.0;unemployed;married;secondary;-233;yes;no;yes
324;35.0;admin.;married;secondary;907;no;yes;no
325;41.0;blue-collar;married;primary;1018;yes;no;no
326;57.0;technician;divorced;tertiary;114;no;no;no
327;34.0;entrepreneur;single;tertiary;714;yes;no;no
328;34.0;technician;;secondary;479;no;no;no
329;37.0;blue-collar;married;secondary;236;no;no;no
330;33.0;management;married;tertiary;0;no;no;no
331;27.0;technician;single;tertiary;4003;no;no;no
332;60.0;blue-collar;married;secondary;71;no;no;yes
333;31.0;technician;single;tertiary;4979;no;yes;no
334;28.0;services;;secondary;38;yes;no;no
335;;management;single;tertiary;596;no;no;no
336;38.0;blue-collar;married;primary;10443;no;no;no
337;53.0;technician;single;tertiary;118;no;no;no
338;27.0;technician;married;secondary;7;yes;no;no
339;30.0;admin.;single;unknown;1;no;no;yes
340;55.0;services;married;unknown;715;yes;no;no
341;35.0;blue-collar;divorced;secondary;1780;yes;no;no
342;24.0;blue-collar;;secondary;237;yes;no;no
343;61.0;admin.;married;secondary;1046;yes;no;no
344;60.0;blue-collar;married;unknown;54;yes;no;no
345;32.0;management;married;tertiary;71;no;no;no
346;60.0;management;;tertiary;3387;no;no;no
347;;technician;married;secondary;0;yes;yes;no
348;36.0;management;single;tertiary;3850;yes;no;no
349;44.0;technician;married;secondary;2575;yes;yes;no
350;39.0;blue-collar;married;unknown;621;yes;no;no
351;56.0;blue-collar;;primary;2442;no;yes;no
352;50.0;management;married;tertiary;469;no;no;no
353;22.0;services;single;secondary;236;yes;no;no
354;25.0;management;single;tertiary;1259;no;no;no
355;40.0;blue-collar;married;secondary;1508;no;no;no
356;36.0;admin.;single;secondary;0;yes;yes;no
357;;technician;single;secondary;1601;no;no;no
358;33.0;blue-collar;single;secondary;498;no;no;no
359;33.0;technician;married;secondary;73;yes;no;no
360;29.0;services;single;tertiary;2564;yes;no;no
361;34.0;blue-collar;married;primary;218;yes;yes;no
362;42.0;management;;tertiary;2137;no;no;no
363;43.0;blue-collar;married;primary;-41;no;no;no
364;;admin.;married;secondary;6706;no;no;no
365;60.0;retired;;secondary;-240;no;no;no
366;39.0;unemployed;married;tertiary;1108;yes;no;no
367;45.0;technician;married;unknown;557;yes;no;no
368;40.0;technician;married;primary;6110;yes;no;no
369;35.0;technician;single;secondary;2144;yes;no;no
370;36.0;management;divorced;tertiary;1057;no;no;no
371;60.0;admin.;married;unknown;1088;yes;no;no
372;28.0;management;single;tertiary;1720;no;no;no
373;32.0;technician;single;tertiary;2684;yes;no;no
374;47.0;management;married;tertiary;3158;yes;no;no
375;;unemployed;married;secondary;36221;no;no;no
376;43.0;management;married;unknown;0;yes;no;no
377;38.0;entrepreneur;married;tertiary;2069;yes;no;no
378;41.0;entrepreneur;;secondary;707;no;no;no
379;43.0;blue-collar;single;primary;0;no;no;no
380;29.0;management;single;tertiary;5894;yes;no;no
381;39.0;admin.;married;secondary;260;yes;no;no
382;55.0;management;married;tertiary;856;yes;yes;no
383;31.0;technician;single;tertiary;969;no;no;no
384;47.0;services;married;secondary;759;yes;no;no
385;43.0;housemaid;single;primary;24;no;no;no
386;60.0;retired;divorced;tertiary;2131;no;no;no
387;27.0;entrepreneur;single;unknown;1007;no;no;no
388;50.0;management;married;tertiary;2050;no;no;no
389;;technician;single;tertiary;4414;no;no;no
390;58.0;management;married;tertiary;0;no;no;no
391;55.0;entrepreneur;married;tertiary;3459;yes;yes;no
392;52.0;technician;;secondary;-1;no;yes;no
393;31.0;services;single;secondary;0;no;no;no
394;45.0;blue-collar;married;primary;1670;no;yes;no
395;48.0;admin.;married;secondary;3064;yes;no;no
396;34.0;blue-collar;married;primary;218;yes;yes;no
397;;management;married;tertiary;0;no;no;no
398;57.0;blue-collar;divorced;secondary;75;yes;no;no
399;48.0;blue-collar;married;secondary;1730;yes;no;no
400;88.0;retired;married;secondary;433;no;no;no
401;25.0;blue-collar;married;secondary;0;no;yes;no
402;35.0;technician;single;secondary;915;no;yes;no
403;36.0;self-employed;married;tertiary;687;yes;no;no
404;37.0;blue-collar;;primary;398;yes;yes;no
405;42.0;blue-collar;single;primary;1322;yes;yes;no
406;53.0;management;married;secondary;-133;yes;no;no
407;;entrepreneur;married;unknown;0;no;no;no
408;33.0;admin.;married;secondary;4012;no;yes;no
409;37.0;entrepreneur;single;tertiary;-274;yes;yes;no
410;26.0;technician;divorced;tertiary;3154;yes;yes;no
411;48.0;blue-collar;married;secondary;729;yes;no;no
412;37.0;blue-collar;;primary;190;yes;no;no
413;37.0;admin.;single;secondary;1097;yes;no;no
414;31.0;technician;single;unknown;460;yes;no;no
415;48.0;management;married;secondary;3663;yes;no;no
416;37.0;blue-collar;single;secondary;0;no;no;no
417;39.0;blue-collar;married;primary;467;yes;no;no
418;49.0;admin.;married;secondary;387;yes;no;yes
419;39.0;blue-collar;married;secondary;483;yes;no;no
420;38.0;management;divorced;tertiary;-199;yes;no;no
421;45.0;self-employed;;tertiary;0;yes;yes;yes
422;;self-employed;single;secondary;27;no;no;no
423;37.0;student;single;unknown;444;no;no;no
424;34.0;management;single;tertiary;318;yes;no;no
425;24.0;management;single;tertiary;172;no;no;no
426;43.0;retired;married;primary;7298;no;no;no
427;57.0;self-employed;married;secondary;380;no;no;yes
428;27.0;admin.;single;secondary;4590;yes;no;no
429;;unemployed;divorced;primary;2244;no;no;no
430;30.0;entrepreneur;single;tertiary;999;no;no;no
431;46.0;management;single;tertiary;134;no;no;no
432;37.0;technician;married;secondary;1578;no;yes;no
433;55.0;services;;unknown;715;yes;no;no
434;77.0;retired;married;secondary;4112;no;no;no
435;43.0;blue-collar;single;secondary;592;yes;no;no
436;;blue-collar;married;primary;1086;yes;no;no
437;23.0;blue-collar;single;secondary;214;yes;no;no
438;35.0;blue-collar;married;tertiary;5271;yes;no;no
439;59.0;retired;married;secondary;1449;yes;yes;no
440;29.0;blue-collar;single;secondary;8079;no;yes;no
441;29.0;blue-collar;married;secondary;9;yes;no;no
442;51.0;admin.;married;secondary;-229;no;no;no
443;28.0;services;single;secondary;1820;yes;no;no
444;35.0;blue-collar;married;secondary;205;yes;yes;no
445;56.0;retired;;primary;556;yes;no;no
446;;services;divorced;secondary;957;no;yes;no
447;40.0;management;married;tertiary;917;yes;no;no
448;40.0;services;married;secondary;251;yes;no;no
449;39.0;blue-collar;married;secondary;481;no;no;no
450;50.0;self-employed;divorced;tertiary;59;yes;no;no
451;49.0;technician;divorced;secondary;-757;yes;yes;yes
452;48.0;technician;married;secondary;23495;no;no;yes
453;65.0;entrepreneur;married;tertiary;2331;no;no;no
454;43.0;management;single;tertiary;1696;yes;no;no
455;61.0;housemaid;;primary;211;no;no;no
456;53.0;management;married;tertiary;3634;no;no;yes
457;59.0;admin.;married;secondary;2343;yes;no;no
458;;management;single;tertiary;153;yes;no;no
459;42.0;management;married;secondary;71;no;no;no
460;31.0;admin.;single;tertiary;7505;yes;yes;no
461;45.0;blue-collar;married;primary;675;yes;no;no
462;28.0;admin.;married;secondary;12;yes;no;no
463;45.0;technician;married;secondary;2403;no;no;no
464;30.0;blue-collar;married;secondary;10395;yes;no;no
465;59.0;housemaid;single;unknown;4639;no;no;no
466;43.0;admin.;single;secondary;6;no;no;yes
467;35.0;blue-collar;married;secondary;331;yes;no;no
468;28.0;services;married;secondary;2114;no;yes;no
469;32.0;unemployed;married;secondary;2;yes;no;yes
470;32.0;blue-collar;;primary;-175;yes;no;no
471;52.0;technician;single;secondary;1262;no;yes;no
472;45.0;blue-collar;married;primary;512;no;no;no
473;36.0;self-employed;married;tertiary;107;yes;no;no
474;;admin.;single;tertiary;305;no;no;no
475;53.0;blue-collar;married;unknown;1827;no;no;no
476;30.0;admin.;married;secondary;214;yes;yes;no
477;28.0;technician;single;unknown;0;yes;no;no
478;40.0;services;single;secondary;-61;yes;yes;no
479;31.0;management;single;tertiary;12857;yes;no;no
480;32.0;services;single;tertiary;748;yes;no;no
481;35.0;management;single;tertiary;7918;no;no;no
482;50.0;technician;married;secondary;778;no;no;no
483;39.0;technician;single;secondary;69;no;no;no
484;72.0;retired;married;primary;0;no;no;yes
485;51.0;blue-collar;divorced;secondary;421;yes;no;no
486;;entrepreneur;married;tertiary;2262;no;no;no
487;31.0;management;single;tertiary;0;no;no;no
488;36.0;blue-collar;married;primary;23;yes;no;no
489;49.0;admin.;divorced;secondary;1697;no;yes;no
490;29.0;blue-collar;;primary;10045;yes;no;no
491;57.0;services;single;primary;3777;yes;no;yes
492;;entrepreneur;single;tertiary;327;yes;yes;no
493;86.0;retired;single;secondary;614;no;no;yes
494;35.0;self-employed;married;secondary;0;no;no;no
495;38.0;management;single;tertiary;574;yes;no;no
496;57.0;management;married;tertiary;-22;yes;no;no
497;48.0;unemployed;married;primary;0;no;no;no
498;46.0;admin.;married;secondary;2148;no;no;no
499;42.0;management;single;tertiary;11891;no;no;no
500;;technician;;tertiary;192;yes;no;no
