id;age;job;marital;education;balance;housing;loan;default
501;37.0;services;married;secondary;812;yes;yes;no
502;28.0;services;married;secondary;510;yes;yes;no
503;51.0;blue-collar;married;secondary;598;yes;no;no
504;32.0;technician;married;secondary;782;yes;no;no
505;44.0;blue-collar;married;secondary;294;yes;no;no
506;57.0;unemployed;married;secondary;1681;no;no;no
507;53.0;admin.;married;secondary;1796;no;no;no
508;28.0;admin.;married;secondary;252;yes;no;no
509;59.0;retired;married;tertiary;148;yes;yes;no
510;54.0;blue-collar;married;unknown;191;no;no;no
511;38.0;entrepreneur;single;tertiary;638;yes;no;no
512;31.0;services;married;secondary;520;yes;no;no
513;31.0;blue-collar;single;unknown;-340;yes;no;no
514;31.0;services;;secondary;2083;yes;no;no
515;40.0;self-employed;married;tertiary;191;yes;no;no
516;;management;single;tertiary;-56;yes;no;no
517;35.0;entrepreneur;married;secondary;0;yes;no;no
518;29.0;blue-collar;single;secondary;770;yes;no;no
519;37.0;blue-collar;single;primary;914;no;no;no
520;38.0;entrepreneur;single;tertiary;-38;yes;no;yes
521;48.0;student;single;unknown;1279;no;no;no
522;36.0;blue-collar;single;secondary;1598;yes;no;no
523;31.0;admin.;married;secondary;62;no;no;no
524;69.0;retired;;tertiary;473;no;no;no
525;72.0;retired;married;secondary;1533;no;no;no
526;;unemployed;divorced;secondary;991;yes;no;no
527;41.0;admin.;married;secondary;80;no;no;yes
528;27.0;student;single;secondary;760;no;no;no
529;38.0;management;married;tertiary;1802;no;no;no
530;57.0;blue-collar;married;primary;0;no;no;no
531;36.0;technician;married;tertiary;421;yes;no;no
532;;blue-collar;;secondary;2160;no;no;no
533;39.0;services;married;secondary;87;no;no;no
534;43.0;technician;divorced;tertiary;101;no;no;no
535;70.0;retired;married;secondary;6422;no;no;yes
536;30.0;technician;married;secondary;574;no;no;no
537;34.0;management;single;tertiary;1190;no;no;no
538;48.0;services;married;secondary;801;no;no;no
539;39.0;entrepreneur;married;secondary;0;no;no;yes
540;36.0;blue-collar;;secondary;771;yes;no;no
541;40.0;blue-collar;married;secondary;598;yes;no;no
542;;housemaid;married;primary;137;no;no;no
543;35.0;blue-collar;married;secondary;1330;no;no;no
544;41.0;blue-collar;divorced;secondary;-274;yes;no;no
545;30.0;blue-collar;divorced;primary;2597;yes;no;no
546;54.0;management;single;tertiary;4393;yes;no;yes
547;37.0;services;married;secondary;3429;yes;yes;no
548;53.0;technician;married;secondary;1776;no;no;no
549;34.0;technician;single;tertiary;370;no;no;no
550;57.0;entrepreneur;married;tertiary;958;no;no;no
551;;management;single;tertiary;0;yes;no;no
552;44.0;blue-collar;;secondary;776;yes;no;no
553;44.0;blue-collar;single;secondary;0;yes;no;no
554;29.0;blue-collar;single;secondary;1166;yes;no;no
555;52.0;blue-collar;married;secondary;157;yes;yes;yes
556;29.0;technician;married;secondary;0;yes;no;no
557;39.0;admin.;married;secondary;-367;yes;no;no
558;44.0;technician;single;tertiary;2033;no;no;yes
559;44.0;blue-collar;single;primary;-234;yes;yes;no
560;35.0;management;married;tertiary;2461;no;no;no
561;54.0;services;married;secondary;882;yes;no;no
562;39.0;technician;single;secondary;2;yes;yes;no
563;48.0;admin.;married;secondary;2533;no;no;yes
564;;admin.;married;primary;31;yes;no;yes
565;48.0;entrepreneur;married;tertiary;313;yes;no;no
566;50.0;blue-collar;married;secondary;6288;no;no;no
567;27.0;admin.;single;secondary;-110;no;yes;yes
568;30.0;blue-collar;single;secondary;297;yes;no;no
569;34.0;management;single;tertiary;28;yes;no;no
570;;self-employed;married;primary;3262;no;no;no
571;43.0;blue-collar;married;primary;3131;yes;no;no
572;39.0;technician;single;secondary;4380;no;no;no
573;25.0;management;single;tertiary;2305;no;no;no
574;44.0;housemaid;divorced;primary;629;no;no;no
575;38.0;blue-collar;single;primary;127;yes;no;no
576;33.0;management;married;tertiary;530;yes;no;no
577;60.0;retired;;primary;7791;no;no;no
578;41.0;management;married;tertiary;768;no;no;no
579;33.0;entrepreneur;married;secondary;3140;yes;yes;no
580;48.0;technician;married;secondary;1600;no;no;no
581;;unemployed;married;primary;168;yes;no;no
582;42.0;blue-collar;married;secondary;366;yes;no;yes
583;37.0;management;married;tertiary;5205;yes;no;no
584;86.0;retired;divorced;primary;0;no;no;no
585;31.0;admin.;single;tertiary;493;yes;no;no
586;30.0;services;divorced;secondary;0;yes;no;no
587;33.0;management;;tertiary;1782;yes;no;no
588;48.0;blue-collar;married;secondary;387;yes;no;no
589;40.0;self-employed;married;secondary;0;no;no;no
590;43.0;management;divorced;secondary;130;yes;no;no
591;;technician;married;secondary;978;no;no;no
592;30.0;management;married;tertiary;2994;yes;no;no
593;37.0;management;married;tertiary;1330;yes;no;no
594;55.0;housemaid;divorced;secondary;0;no;no;no
595;31.0;management;single;tertiary;5691;yes;no;no
596;24.0;student;single;secondary;1684;no;no;no
597;58.0;services;divorced;secondary;462;no;no;no
598;41.0;housemaid;married;primary;322;no;no;no
599;27.0;admin.;single;secondary;105;yes;no;no
600;;housemaid;married;unknown;2337;yes;no;no
601;34.0;services;single;secondary;581;yes;no;no
602;37.0;blue-collar;married;secondary;395;yes;no;no
603;33.0;technician;;tertiary;565;yes;no;no
604;73.0;retired;married;secondary;2850;no;no;no
605;30.0;services;single;secondary;405;yes;no;no
606;31.0;services;married;secondary;655;no;yes;no
607;;student;single;unknown;23867;no;no;no
608;33.0;housemaid;married;primary;167;no;no;no
609;47.0;management;divorced;unknown;582;yes;yes;no
610;60.0;management;;tertiary;2281;no;no;no
611;35.0;admin.;married;secondary;0;yes;no;no
612;49.0;self-employed;married;tertiary;147;no;yes;no
613;32.0;management;single;tertiary;3289;no;no;no
614;33.0;management;single;tertiary;0;yes;no;no
615;41.0;management;married;tertiary;2767;no;no;no
616;35.0;technician;divorced;unknown;244;no;no;no
617;76.0;housemaid;married;primary;1483;no;no;no
618;42.0;management;single;tertiary;100;no;no;yes
619;39.0;services;divorced;secondary;-96;yes;yes;yes
620;30.0;blue-collar;married;primary;-93;yes;no;no
621;22.0;student;single;secondary;254;no;no;no
622;40.0;management;married;secondary;18;yes;no;no
623;;technician;married;secondary;394;no;no;no
624;60.0;self-employed;married;tertiary;3;no;no;no
625;49.0;blue-collar;single;secondary;725;yes;no;no
626;48.0;housemaid;;primary;283;yes;no;no
627;48.0;blue-collar;married;primary;174;yes;yes;no
628;32.0;blue-collar;married;secondary;472;yes;no;no
629;50.0;blue-collar;married;unknown;0;no;no;no
630;41.0;entrepreneur;;secondary;557;no;yes;no
631;35.0;admin.;single;secondary;-413;yes;no;no
632;;services;married;secondary;1325;no;no;no
633;52.0;blue-collar;married;primary;109;yes;no;no
634;39.0;admin.;married;secondary;260;yes;no;no
635;41.0;housemaid;married;primary;884;no;no;no
636;48.0;unemployed;divorced;secondary;583;yes;no;no
637;43.0;technician;divorced;secondary;6835;no;no;no
638;29.0;unemployed;married;tertiary;8;yes;no;no
639;53.0;services;divorced;tertiary;329;no;no;no
640;36.0;management;single;tertiary;538;no;no;no
641;31.0;blue-collar;married;tertiary;-35;no;no;no
642;39.0;technician;married;secondary;768;yes;yes;no
643;;services;single;secondary;3405;no;no;no
644;32.0;technician;single;tertiary;100;no;no;no
645;58.0;retired;married;primary;745;yes;no;no
646;46.0;technician;;secondary;363;yes;no;no
647;28.0;unemployed;married;secondary;863;yes;yes;no
648;43.0;management;married;tertiary;-3372;yes;no;yes
649;39.0;management;married;tertiary;1654;no;yes;no
650;39.0;blue-collar;married;primary;1005;no;no;no
651;48.0;management;married;tertiary;618;no;no;no
652;36.0;management;;tertiary;495;no;no;no
653;45.0;blue-collar;married;secondary;1577;yes;no;no
654;37.0;admin.;married;secondary;7;yes;no;no
655;50.0;management;married;secondary;1165;no;no;no
656;34.0;technician;;secondary;-56;yes;no;no
657;32.0;admin.;married;secondary;167;yes;no;no
658;40.0;management;married;tertiary;713;no;no;no
659;56.0;technician;married;tertiary;-736;no;no;yes
660;38.0;admin.;single;secondary;3239;no;no;no
661;34.0;management;single;tertiary;-292;yes;no;no
662;40.0;technician;;tertiary;677;yes;no;no
663;36.0;blue-collar;married;secondary;-190;yes;no;no
664;37.0;management;married;tertiary;825;yes;no;no
665;40.0;unemployed;divorced;secondary;4082;yes;no;no
666;41.0;technician;single;tertiary;1026;no;no;no
667;32.0;services;single;secondary;0;yes;no;no
668;;management;married;secondary;7;no;yes;yes
669;29.0;self-employed;single;tertiary;655;no;no;no
670;61.0;management;married;tertiary;997;no;no;no
671;54.0;technician;divorced;secondary;2749;yes;no;no
672;52.0;technician;;unknown;562;no;no;no
673;59.0;self-employed;married;primary;0;yes;no;no
674;37.0;technician;divorced;secondary;1559;yes;no;no
675;;entrepreneur;married;primary;805;yes;no;no
676;34.0;self-employed;single;tertiary;366;yes;no;no
677;46.0;housemaid;single;tertiary;3232;no;no;no
678;46.0;management;married;tertiary;810;yes;yes;no
679;54.0;housemaid;married;primary;136;no;no;no
680;46.0;services;divorced;secondary;864;yes;no;no
681;38.0;services;married;secondary;-433;yes;no;yes
682;21.0;admin.;single;secondary;66;yes;no;no
683;;student;married;secondary;200;yes;no;yes
684;34.0;services;;secondary;703;no;no;no
685;54.0;management;married;tertiary;2650;yes;yes;yes
686;28.0;blue-collar;single;secondary;87;yes;no;yes
687;40.0;blue-collar;married;primary;-166;yes;no;no
688;32.0;management;;tertiary;2976;yes;no;no
689;32.0;management;single;tertiary;703;yes;no;no
690;37.0;admin.;single;secondary;309;yes;no;no
691;30.0;management;single;tertiary;424;no;no;no
692;22.0;student;single;secondary;71;no;no;no
693;36.0;management;single;tertiary;0;yes;yes;no
694;;unemployed;married;secondary;277;yes;no;no
695;31.0;admin.;divorced;secondary;93;yes;no;no
696;32.0;services;single;secondary;0;no;yes;no
697;53.0;management;single;secondary;5558;yes;no;no
698;35.0;blue-collar;single;tertiary;1011;yes;no;no
699;43.0;management;married;tertiary;0;no;no;no
700;46.0;services;;secondary;6913;no;no;no
701;58.0;management;married;tertiary;2261;yes;no;no
702;51.0;retired;married;secondary;-14;no;yes;no
703;34.0;admin.;married;secondary;1655;yes;no;no
704;;retired;married;tertiary;746;no;no;no
705;46.0;blue-collar;divorced;primary;2870;no;no;no
706;42.0;housemaid;married;secondary;477;yes;yes;no
707;44.0;entrepreneur;single;tertiary;1240;yes;no;no
708;28.0;technician;;secondary;880;yes;no;no
709;45.0;blue-collar;married;primary;4696;no;no;no
710;32.0;technician;married;tertiary;396;yes;no;no
711;64.0;management;married;tertiary;5112;no;no;yes
712;27.0;blue-collar;single;secondary;294;yes;no;no
713;;admin.;single;secondary;116;no;yes;no
714;54.0;technician;married;secondary;719;yes;no;yes
715;60.0;technician;married;secondary;0;yes;no;yes
716;46.0;management;;tertiary;477;yes;no;no
717;59.0;retired;married;unknown;0;no;no;no
718;40.0;management;single;tertiary;242;yes;no;no
719;26.0;blue-collar;single;secondary;535;yes;yes;no
720;27.0;management;single;tertiary;218;yes;no;no
721;36.0;blue-collar;married;secondary;342;yes;no;no
722;47.0;admin.;married;primary;31;yes;no;no
723;;management;married;tertiary;68;yes;no;no
724;35.0;management;;tertiary;3083;no;no;no
725;31.0;technician;married;secondary;0;no;no;no
726;30.0;blue-collar;married;secondary;203;yes;no;no
727;32.0;technician;single;tertiary;703;yes;no;no
728;42.0;housemaid;divorced;secondary;314;no;no;no
729;26.0;services;single;secondary;8206;yes;no;no
730;48.0;management;married;unknown;54;yes;no;yes
731;27.0;management;single;tertiary;1995;yes;no;no
732;26.0;technician;divorced;secondary;21;yes;no;no
733;45.0;admin.;single;secondary;-101;yes;no;no
734;40.0;admin.;married;secondary;-253;yes;no;no
735;24.0;blue-collar;;secondary;0;yes;no;no
736;41.0;retired;single;secondary;1734;yes;no;no
737;;blue-collar;single;secondary;0;yes;no;no
738;38.0;blue-collar;married;secondary;284;yes;yes;no
739;51.0;technician;married;secondary;223;no;no;yes
740;53.0;admin.;;tertiary;944;yes;no;no
741;30.0;management;single;tertiary;77;no;no;no
742;40.0;technician;divorced;secondary;-163;yes;no;no
743;60.0;technician;married;tertiary;131;no;no;no
744;25.0;management;single;tertiary;115;no;yes;no
745;35.0;unemployed;married;primary;494;yes;no;no
746;40.0;services;married;secondary;22;yes;yes;no
747;34.0;blue-collar;married;secondary;855;no;yes;no
748;;technician;;secondary;1353;no;no;no
749;31.0;admin.;married;secondary;7634;yes;yes;no
750;58.0;management;married;tertiary;2764;no;no;no
751;36.0;technician;married;secondary;30;no;no;no
752;57.0;blue-collar;married;primary;1075;no;no;no
753;31.0;technician;married;secondary;180;no;no;no
754;33.0;management;single;tertiary;5945;yes;no;no
755;33.0;services;married;secondary;2;no;no;yes
756;;services;married;secondary;366;yes;yes;no
757;55.0;services;divorced;secondary;379;no;no;no
758;30.0;management;single;tertiary;232;no;no;no
759;61.0;blue-collar;;primary;625;yes;no;no
760;71.0;retired;divorced;secondary;4380;no;no;no
761;36.0;blue-collar;married;secondary;1589;yes;no;no
762;50.0;entrepreneur;married;secondary;806;yes;yes;yes
763;37.0;technician;married;secondary;344;yes;yes;no
764;;blue-collar;single;primary;155;yes;no;no
765;37.0;unemployed;single;secondary;756;yes;no;no
766;37.0;entrepreneur;married;tertiary;264;yes;yes;no
767;38.0;management;single;tertiary;0;no;no;no
768;38.0;admin.;single;secondary;439;no;no;no
769;52.0;management;married;tertiary;3732;no;no;no
770;32.0;admin.;single;secondary;5;yes;yes;no
771;33.0;management;married;secondary;11;yes;no;no
772;60.0;technician;married;secondary;-247;yes;no;no
773;42.0;blue-collar;;unknown;57;yes;no;no
774;42.0;self-employed;married;primary;3641;yes;no;no
775;26.0;blue-collar;single;secondary;82;yes;no;no
776;;services;married;secondary;658;no;no;no
777;43.0;management;;secondary;452;yes;no;no
778;45.0;self-employed;married;secondary;2278;no;no;no
779;63.0;retired;married;secondary;474;no;no;no
780;49.0;management;married;tertiary;4200;yes;no;no
781;72.0;retired;;secondary;1533;no;no;no
782;;services;single;secondary;302;no;no;no
783;54.0;management;married;tertiary;446;no;no;no
784;55.0;technician;married;secondary;6043;no;no;no
785;34.0;technician;divorced;secondary;175;yes;no;no
786;36.0;admin.;married;secondary;402;yes;no;no
787;33.0;technician;single;tertiary;0;no;no;no
788;43.0;blue-collar;;secondary;607;yes;no;no
789;28.0;admin.;married;secondary;317;yes;no;no
790;27.0;admin.;single;secondary;464;no;no;no
791;40.0;technician;divorced;tertiary;1871;yes;no;no
792;60.0;services;divorced;primary;58;no;yes;no
793;32.0;entrepreneur;married;tertiary;0;yes;no;no
794;41.0;management;married;tertiary;-556;yes;yes;yes
795;;admin.;divorced;secondary;308;yes;no;no
796;37.0;blue-collar;married;secondary;-288;yes;yes;no
797;29.0;technician;single;tertiary;0;yes;no;no
798;34.0;self-employed;married;tertiary;442;yes;no;no
799;28.0;services;married;secondary;4;yes;no;no
800;31.0;technician;single;secondary;475;no;no;no
801;46.0;blue-collar;married;primary;881;yes;no;no
802;38.0;blue-collar;single;primary;378;yes;no;no
803;56.0;admin.;divorced;secondary;1026;yes;no;no
804;29.0;blue-collar;single;secondary;391;yes;no;no
805;60.0;technician;divorced;secondary;615;yes;no;no
806;27.0;blue-collar;;secondary;5505;yes;yes;no
807;;unemployed;married;secondary;2629;no;no;no
808;39.0;admin.;single;unknown;0;yes;no;no
809;41.0;management;divorced;secondary;0;no;no;yes
810;36.0;management;single;tertiary;0;yes;no;no
811;28.0;admin.;single;secondary;579;yes;no;no
812;39.0;blue-collar;married;secondary;750;yes;yes;no
813;39.0;blue-collar;married;primary;70;no;no;no
814;38.0;management;married;secondary;-323;yes;no;no
815;42.0;management;divorced;tertiary;621;no;yes;no
816;35.0;technician;married;secondary;19;no;no;no
817;;admin.;married;secondary;1914;yes;no;no
818;39.0;unemployed;single;secondary;-114;yes;no;no
819;46.0;admin.;single;secondary;751;yes;no;no
820;37.0;admin.;divorced;secondary;246;yes;no;no
821;38.0;services;married;primary;0;yes;no;no
822;42.0;management;single;tertiary;706;no;no;yes
823;42.0;management;single;tertiary;1156;yes;no;yes
824;42.0;housemaid;;secondary;327;no;no;no
825;59.0;retired;married;secondary;1875;yes;no;no
826;35.0;management;married;tertiary;2123;yes;no;no
827;;blue-collar;single;unknown;597;yes;no;no
828;56.0;self-employed;divorced;tertiary;966;yes;no;no
829;29.0;blue-collar;married;secondary;-114;yes;no;no
830;44.0;blue-collar;married;primary;6393;no;no;no
831;37.0;blue-collar;married;primary;510;yes;no;no
832;29.0;admin.;married;secondary;0;yes;no;no
833;;retired;married;secondary;366;no;yes;no
834;44.0;admin.;single;secondary;-497;yes;no;yes
835;26.0;admin.;;tertiary;319;no;no;no
836;44.0;admin.;divorced;tertiary;558;yes;no;no
837;54.0;entrepreneur;married;secondary;0;yes;no;no
838;51.0;management;married;tertiary;15904;no;no;no
839;31.0;technician;single;secondary;4;no;no;no
840;31.0;admin.;single;secondary;-48;yes;no;no
841;;blue-collar;married;secondary;222;yes;no;no
842;30.0;technician;single;secondary;-127;no;no;no
843;28.0;services;single;secondary;437;yes;yes;no
844;42.0;housemaid;single;primary;1179;yes;no;no
845;32.0;management;married;tertiary;-360;yes;no;no
846;35.0;blue-collar;single;secondary;88;yes;no;no
847;25.0;admin.;married;unknown;349;yes;no;no
848;55.0;retired;married;secondary;102;yes;no;no
849;41.0;services;;secondary;446;yes;no;no
850;33.0;unemployed;married;secondary;456;no;no;no
851;;services;divorced;primary;23;no;no;no
852;57.0;management;married;tertiary;2440;yes;no;no
853;26.0;technician;single;secondary;57;yes;no;no
854;32.0;management;married;tertiary;477;yes;no;no
855;52.0;management;married;unknown;1708;no;no;no
856;48.0;management;;secondary;161;yes;no;yes
857;41.0;management;single;tertiary;-24;yes;no;no
858;31.0;blue-collar;married;secondary;1716;yes;no;no
859;31.0;technician;single;secondary;1014;yes;no;no
860;56.0;retired;divorced;primary;0;no;no;no
861;;blue-collar;married;secondary;71;yes;no;no
862;34.0;services;single;secondary;581;yes;no;no
863;53.0;management;divorced;primary;443;no;no;no
864;35.0;self-employed;single;tertiary;538;yes;yes;no
865;57.0;technician;divorced;secondary;145;no;yes;no
866;37.0;admin.;married;secondary;0;yes;no;no
867;33.0;admin.;married;secondary;0;yes;no;no
868;31.0;blue-collar;married;primary;50;yes;no;no
869;30.0;technician;;tertiary;0;no;no;no
870;;blue-collar;single;primary;378;yes;no;no
871;53.0;management;married;tertiary;618;no;no;no
872;24.0;student;single;unknown;358;no;no;no
873;31.0;admin.;married;secondary;1246;yes;no;no
874;31.0;management;;tertiary;3897;yes;no;no
875;52.0;management;divorced;tertiary;0;no;no;yes
876;49.0;services;married;primary;61;yes;no;no
877;28.0;technician;single;unknown;0;yes;no;no
878;45.0;blue-collar;married;primary;71;yes;no;no
879;52.0;management;married;tertiary;4358;no;no;yes
880;37.0;management;married;tertiary;839;no;yes;no
881;28.0;admin.;single;unknown;731;yes;no;no
882;32.0;management;single;tertiary;2974;yes;no;no
883;24.0;self-employed;single;tertiary;91;yes;no;no
884;34.0;blue-collar;married;secondary;-61;yes;no;no
885;;services;;secondary;1286;yes;yes;no
886;47.0;management;married;tertiary;0;yes;no;no
887;26.0;management;single;tertiary;15;no;no;no
888;36.0;admin.;divorced;secondary;-611;yes;no;no
889;44.0;services;married;secondary;983;no;no;no
890;43.0;blue-collar;married;primary;3917;no;no;no
891;55.0;technician;divorced;secondary;225;no;yes;no
892;;housemaid;married;primary;5908;no;no;no
893;30.0;management;single;tertiary;0;yes;no;no
894;34.0;blue-collar;;primary;365;yes;no;no
895;50.0;technician;married;secondary;85;no;no;no
896;28.0;management;single;tertiary;1808;no;no;no
897;31.0;blue-collar;married;secondary;990;yes;yes;no
898;26.0;student;single;tertiary;0;yes;no;no
899;;student;single;secondary;241;yes;no;no
900;46.0;blue-collar;;primary;2313;yes;no;no
901;51.0;entrepreneur;divorced;tertiary;4;yes;yes;no
902;47.0;blue-collar;married;secondary;182;yes;no;yes
903;38.0;self-employed;married;secondary;290;yes;no;no
904;32.0;blue-collar;married;secondary;1905;yes;no;no
905;36.0;self-employed;married;secondary;1184;yes;no;no
906;51.0;technician;;tertiary;7338;no;no;no
907;51.0;blue-collar;married;primary;19;no;no;no
908;35.0;technician;single;secondary;1227;no;no;no
909;46.0;technician;married;secondary;167;no;no;yes
910;35.0;management;divorced;tertiary;153;no;no;no
911;28.0;management;single;tertiary;41;yes;no;no
912;;technician;married;secondary;742;no;no;no
913;60.0;services;;secondary;4428;no;no;no
914;26.0;blue-collar;single;secondary;-29;yes;no;no
915;41.0;housemaid;married;tertiary;783;yes;no;no
916;46.0;technician;single;secondary;3494;yes;no;no
917;29.0;admin.;single;secondary;266;yes;no;no
918;38.0;management;single;tertiary;1746;yes;no;no
919;;blue-collar;married;primary;2519;yes;no;no
920;55.0;technician;married;secondary;176;yes;no;no
921;43.0;blue-collar;married;primary;778;yes;yes;no
922;37.0;unemployed;;unknown;4565;no;no;no
923;46.0;unemployed;single;tertiary;705;no;no;no
924;28.0;self-employed;single;tertiary;5215;no;no;no
925;35.0;technician;divorced;secondary;2047;yes;no;no
926;55.0;technician;married;secondary;2014;yes;yes;yes
927;41.0;blue-collar;married;primary;4;no;no;no
928;;technician;married;secondary;144;yes;yes;no
929;39.0;management;married;tertiary;-4;no;no;no
930;25.0;blue-collar;single;primary;-289;yes;no;no
931;43.0;technician;;secondary;714;yes;no;no
932;50.0;technician;married;tertiary;5114;no;no;yes
933;25.0;services;married;secondary;50;yes;no;no
934;30.0;technician;single;tertiary;1271;yes;no;no
935;27.0;student;single;tertiary;524;no;no;no
936;41.0;technician;married;secondary;1321;yes;no;no
937;;admin.;single;secondary;1016;no;yes;no
938;56.0;retired;married;secondary;5737;no;no;no
939;43.0;management;married;tertiary;291;yes;no;no
940;28.0;blue-collar;married;secondary;0;yes;no;no
941;38.0;blue-collar;single;tertiary;172;yes;no;no
942;60.0;retired;;secondary;30;no;no;no
943;53.0;management;married;tertiary;761;no;yes;no
944;;housemaid;divorced;primary;608;no;no;no
945;26.0;management;single;secondary;651;no;yes;no
946;27.0;admin.;married;secondary;3160;yes;no;no
947;31.0;entrepreneur;single;tertiary;1454;no;no;no
948;33.0;technician;;secondary;763;no;no;no
949;47.0;technician;married;secondary;293;no;no;yes
950;59.0;retired;married;primary;0;no;no;no
951;;retired;married;secondary;87;no;no;no
952;72.0;self-employed;married;tertiary;132;no;no;yes
953;33.0;unemployed;single;tertiary;6748;no;no;no
954;34.0;blue-collar;;secondary;-1725;yes;no;no
955;24.0;services;single;secondary;414;yes;no;no
956;24.0;blue-collar;single;secondary;3;yes;no;no
957;28.0;self-employed;single;tertiary;2503;no;no;no
958;27.0;self-employed;single;secondary;49;yes;no;no
959;;retired;divorced;secondary;70;yes;no;no
960;43.0;services;married;secondary;87;no;no;no
961;49.0;unemployed;married;secondary;4110;no;no;no
962;41.0;blue-collar;married;secondary;-217;yes;no;no
963;36.0;self-employed;married;secondary;4579;yes;no;no
964;44.0;services;married;secondary;1872;yes;no;yes
965;45.0;management;single;secondary;451;yes;no;no
966;45.0;blue-collar;;secondary;-35;yes;yes;no
967;57.0;management;married;tertiary;929;no;no;no
968;57.0;retired;married;primary;9367;no;no;no
969;25.0;blue-collar;single;unknown;586;yes;no;no
970;45.0;management;divorced;tertiary;1;no;no;yes
971;51.0;management;divorced;tertiary;45;no;no;no
972;;technician;;secondary;688;no;no;no
973;27.0;technician;married;secondary;130;yes;no;no
974;36.0;technician;married;secondary;2474;yes;no;no
975;30.0;management;single;tertiary;73;no;no;no
976;41.0;blue-collar;single;secondary;363;yes;no;no
977;32.0;management;single;tertiary;1017;no;no;no
978;51.0;unemployed;married;secondary;17418;yes;no;yes
979;60.0;retired;married;primary;5;no;no;no
980;47.0;blue-collar;single;secondary;-380;no;no;yes
981;37.0;management;single;tertiary;102;yes;no;no
982;46.0;admin.;married;secondary;3028;yes;yes;no
983;57.0;management;;tertiary;334;yes;no;no
984;58.0;blue-collar;married;primary;0;yes;no;no
985;;blue-collar;single;secondary;143;yes;no;no
986;36.0;admin.;married;secondary;0;no;no;no
987;47.0;services;divorced;secondary;430;yes;yes;no
988;30.0;self-employed;;secondary;581;yes;no;no
989;27.0;unemployed;single;secondary;0;yes;no;no
990;41.0;blue-collar;married;secondary;-68;yes;no;no
991;33.0;management;married;tertiary;2071;no;no;no
992;48.0;unknown;single;unknown;1819;no;no;no
993;31.0;blue-collar;single;secondary;648;yes;yes;no
994;37.0;management;divorced;tertiary;241;yes;no;no
995;;management;married;secondary;106;no;no;no
996;41.0;entrepreneur;married;secondary;-1882;yes;no;no
997;58.0;management;married;tertiary;1271;yes;no;no
998;31.0;services;single;secondary;297;no;no;no
999;31.0;entrepreneur;;tertiary;312;no;no;no
1000;23.0;blue-collar;single;secondary;780;yes;no;no
